Precio,Distrito,Tipo,Habitaciones,Aseos,Superficie,Planta,Parking,URL
129900,Fuencarral,Piso,3,1,52,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-terraza-trastero/159355168/d
440000,Chamberí,Piso,3,2,154,4,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-trastero-ascensor-piscina-piscina/159352767/d
285000,Chamberí,Apartamento,1,1,64,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/159247633/d
2200000,Ciudad Lineal,Piso,4,4,301,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/159352270/d
325000,Hortaleza,Piso,3,1,107,4,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-trastero-ascensor-television-se-aceptan-mascotas-internet-no-amueblado/159101206/d
495000,Puente de Vallecas,Piso,2,2,121,2,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-jardin-trastero-zona-comunitaria-ascensor-piscina/158988004/d
108000,Chamartín,Piso,3,1,65,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado/157870151/d
329900,Chamartín,Piso,2,1,70,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-ascensor/159112584/d
420000,Latina,Dúplex,1,1,78,,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-internet/157780127/d
154000,Salamanca,Piso,3,1,78,3,,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/159333243/d
690000,San Blas,Piso,2,2,119,5,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-trastero-ascensor/159348426/d
325000,Hortaleza,Piso,3,2,93,,1,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-zona-comunitaria-ascensor-piscina-parking-se-aceptan-mascotas-piscina/157511242/d
